     0 session.created                         {"channel": "browser_voice"}
   946 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   946 state.changed                           dialog:IDLE->LISTENING [session_started]
   947 session.started                         {}
   947 state.changed                           activity:OPENING->ENGAGED [opened]
  2703 user.speech_started                     {"detector": "silero_fallback_energy"}
  8304 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 3940}
  8304 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  8304 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  8387 assistant.response_started       turn_1 {"response_id": "resp_ERPotezd8nLRlwP00SmPC"}
  8387 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  8389 transport.playout_started        turn_1 {"response_id": "resp_ERPotezd8nLRlwP00SmPC"}
  9245 user.speech_committed            turn_1 {"transcript": true, "text_len": 61, "text_sha256_12": "4326afbf9d44"}
 11016 assistant.response_ended         turn_1 {"response_id": "resp_ERPotezd8nLRlwP00SmPC", "audio_ms": 11900, "text_len": 127, "text_sha256_12": "7282199670f6"}
 11017 state.changed                    turn_1 dialog:SPEAKING->LISTENING [response_done]
 12909 user.speech_started              turn_1 {"detector": "silero_fallback_energy"}
 18809 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 4060}
 18809 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
 18809 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
 18810 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
 18875 assistant.response_started       turn_2 {"response_id": "resp_ERPp3nCxPPZ0ykcniK1VV"}
 18875 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
 18877 transport.playout_started        turn_2 {"response_id": "resp_ERPp3nCxPPZ0ykcniK1VV"}
 19378 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 19378 tool.requested                   turn_2 {"call_id": "call_U85HuCCdXbrJPds7", "tool_id": "record_field", "step": "received"}
 19379 tool.execution_started           turn_2 {"call_id": "call_U85HuCCdXbrJPds7", "tool_id": "record_field"}
 19379 tool.execution_completed         turn_2 {"call_id": "call_U85HuCCdXbrJPds7", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 19380 decision.made                    turn_2 {"kind": "validate_field", "field": "address", "source": "RULE", "ok": true}
 19380 field.recorded                   turn_2 {"name": "address", "provenance": "USER_STATED"}
 19380 state.changed                    turn_2 activity:COLLECTING->COLLECTING [field_needed]
 19381 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
 19384 assistant.response_ended         turn_2 {"response_id": "resp_ERPp3nCxPPZ0ykcniK1VV", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 19384 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 19457 assistant.response_started       turn_2 {"response_id": "resp_ERPp4fhpA8gRrHWTmS9jj"}
 19457 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 19459 transport.playout_started        turn_2 {"response_id": "resp_ERPp4fhpA8gRrHWTmS9jj"}
 19758 user.speech_committed            turn_2 {"transcript": true, "text_len": 42, "text_sha256_12": "44a635f9b249"}
 19960 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 19961 tool.requested                   turn_2 {"call_id": "call_QFEHVeOJTHErWeVX", "tool_id": "verify_field", "step": "received"}
 19961 tool.execution_started           turn_2 {"call_id": "call_QFEHVeOJTHErWeVX", "tool_id": "verify_field"}
 19961 tool.execution_completed         turn_2 {"call_id": "call_QFEHVeOJTHErWeVX", "tool_id": "verify_field", "provenance": "TOOL_VERIFIED", "latency_ms": 0}
 19962 field.verified                   turn_2 {"name": "address", "call_id": "call_QFEHVeOJTHErWeVX"}
 19962 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
 19966 assistant.response_ended         turn_2 {"response_id": "resp_ERPp4fhpA8gRrHWTmS9jj", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 19966 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 20018 assistant.response_started       turn_2 {"response_id": "resp_ERPp4CwsOyZ1AqMvmv0JS"}
 20018 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 20019 transport.playout_started        turn_2 {"response_id": "resp_ERPp4CwsOyZ1AqMvmv0JS"}
 21170 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 21171 tool.requested                   turn_2 {"call_id": "call_4Q41yYwafIwIISvn", "tool_id": "record_field", "step": "received"}
 21171 tool.execution_started           turn_2 {"call_id": "call_4Q41yYwafIwIISvn", "tool_id": "record_field"}
 21171 tool.execution_completed         turn_2 {"call_id": "call_4Q41yYwafIwIISvn", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 21171 decision.made                    turn_2 {"kind": "validate_field", "field": "items", "source": "RULE", "ok": true}
 21172 field.recorded                   turn_2 {"name": "items", "provenance": "USER_STATED"}
 21172 state.changed                    turn_2 activity:COLLECTING->COLLECTING [field_needed]
 21172 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
 21175 assistant.response_ended         turn_2 {"response_id": "resp_ERPp4CwsOyZ1AqMvmv0JS", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 21175 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 21304 assistant.response_started       turn_2 {"response_id": "resp_ERPp60wdpXNUWWt50Q2ig"}
 21304 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 21306 transport.playout_started        turn_2 {"response_id": "resp_ERPp60wdpXNUWWt50Q2ig"}
 21899 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 21900 tool.requested                   turn_2 {"call_id": "call_UQSC5cXO4fJ2t6fM", "tool_id": "lookup_knowledge", "step": "received"}
 21900 tool.execution_started           turn_2 {"call_id": "call_UQSC5cXO4fJ2t6fM", "tool_id": "lookup_knowledge"}
 21900 tool.execution_completed         turn_2 {"call_id": "call_UQSC5cXO4fJ2t6fM", "tool_id": "lookup_knowledge", "provenance": "KNOWLEDGE_APPROVED", "latency_ms": 0}
 21901 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
 21904 assistant.response_ended         turn_2 {"response_id": "resp_ERPp60wdpXNUWWt50Q2ig", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 21904 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 21957 assistant.response_started       turn_2 {"response_id": "resp_ERPp6lGTVIVVnEVeBl90w"}
 21957 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 21959 transport.playout_started        turn_2 {"response_id": "resp_ERPp6lGTVIVVnEVeBl90w"}
 22659 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 22659 tool.requested                   turn_2 {"call_id": "call_q7JS2rWo5Uvr35vH", "tool_id": "compute_quote", "step": "received"}
 22660 tool.execution_started           turn_2 {"call_id": "call_q7JS2rWo5Uvr35vH", "tool_id": "compute_quote"}
 22660 tool.execution_unknown           turn_2 {"call_id": "call_q7JS2rWo5Uvr35vH", "tool_id": "compute_quote"}
 22661 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_failed]
 22662 assistant.response_ended         turn_2 {"response_id": "resp_ERPp6lGTVIVVnEVeBl90w", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 22662 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 22715 assistant.response_started       turn_2 {"response_id": "resp_ERPp7UN4sjoxy1jh1rwX1"}
 22716 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 22718 transport.playout_started        turn_2 {"response_id": "resp_ERPp7UN4sjoxy1jh1rwX1"}
 25967 assistant.response_ended         turn_2 {"response_id": "resp_ERPp7UN4sjoxy1jh1rwX1", "audio_ms": 15100, "text_len": 171, "text_sha256_12": "38cf35451379"}
 25968 state.changed                    turn_2 dialog:SPEAKING->LISTENING [response_done]
 30051 state.changed                    turn_2 dialog:LISTENING->CLOSED [close]
 30051 state.changed                    turn_2 activity:COLLECTING->ABANDONED [user_left]
 32091 provider.session_closed          turn_2 {}
 32092 outcome.produced                 turn_2 {"primary": "abandoned", "secondary": []}
 32092 interaction_record.produced      turn_2 {"ref": "memory://record/rec_3c43e674c70146f7"}
 32092 session.ended                    turn_2 {"reason": "user_bye", "turns": 2}
